time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,elbow_torque_tvlqr,K1,K2,K3,K4,k0
0.000000000000000000e+00,-6.315619999999999568e-01,-6.336429999999999563e-01,0.000000000000000000e+00,1.007931441508198623e+05,0.000000000000000000e+00,-1.872708999999999957e+00,1.456501999999999963e+00,0.000000000000000000e+00,7.574496911538280256e+04,1.845663334109580638e-16,-7.011869070961422590e-02,7.037303871819080570e-01,1.107625429618698698e+00,2.530403416668907182e-02,2.180928957236183130e-01,7.011869070961440631e-02
1.000751378869485725e-03,-6.321831001684405926e-01,-6.084082294417183512e-01,2.521303276827016759e+01,-4.658941065256004599e+00,0.000000000000000000e+00,-1.871243437694364076e+00,1.475400880838469542e+00,1.875313269913101877e+01,-2.592075794802881319e+02,-2.698846853836065190e-03,-7.292510064464334529e-02,7.002851169622299476e-01,1.107276091691858699e+00,2.579847567861139751e-02,2.180796411601606533e-01,6.990568946450018140e-02
2.001502757738971450e-03,-6.327781968552813607e-01,-5.831790447650400111e-01,2.520699238441591561e+01,-5.574732152194743051e+00,0.000000000000000000e+00,-1.869761999568490429e+00,1.494038268483449894e+00,1.849361903283245212e+01,-2.557407917859384554e+02,-5.397693707672312526e-03,-7.572782132404816402e-02,6.968265669398545636e-01,1.106932470149751158e+00,2.629416134276590239e-02,2.180660108356986260e-01,6.968052563149347567e-02
3.002254136608457392e-03,-6.333473416506831821e-01,-5.579563638316079599e-01,2.520003481130061473e+01,-6.490422681215704870e+00,0.000000000000000000e+00,-1.868264769654454760e+00,1.512417707821973600e+00,1.823764776393587894e+01,-2.522750350527599892e+02,-8.096540561508562897e-03,-7.853054200345296887e-02,6.933516866766570308e-01,1.106594097500701812e+00,2.679002144125882182e-02,2.180519377813498472e-01,6.947780294978317395e-02
4.003005515477942901e-03,-6.338905861448075330e-01,-5.327411045030643333e-01,2.519216004889640104e+01,-7.406012484594894474e+00,0.000000000000000000e+00,-1.866751831984331922e+00,1.530542743741073686e+00,1.798521889254218564e+01,-2.488103094886309634e+02,-1.079538741534481414e-02,-8.133552180432521150e-02,6.898610089920108601e-01,1.106260670075580377e+00,2.728626052426907922e-02,2.180374105568127774e-01,6.927945413664336749e-02
5.003756894347428409e-03,-6.344079819278152232e-01,-5.075341846410523772e-01,2.518336809717169444e+01,-8.321501361404123998e+00,0.000000000000000000e+00,-1.865223270590196325e+00,1.548416921127782730e+00,1.773633241855225862e+01,-2.453466140627737389e+02,-1.349423426918106017e-02,-8.414074614387917483e-02,6.863547336217381556e-01,1.105931942206903162e+00,2.778286425090150877e-02,2.180224260616944465e-01,6.908548299901084988e-02
6.004508273216914785e-03,-6.348995805898675071e-01,-4.823365221072145048e-01,2.517365895609156823e+01,-9.236889096521922582e+00,0.000000000000000000e+00,-1.863679169504123490e+00,1.566043784869134425e+00,1.749098834165183547e+01,-2.418839464416218163e+02,-1.619308112301731314e-02,-8.694597048343313817e-02,6.828329559464121346e-01,1.105607715176343264e+00,2.827977360126541356e-02,2.180069884715526152e-01,6.889591436855035944e-02
7.005259652086400293e-03,-6.353654337211254166e-01,-4.571490347631935736e-01,2.516303262561709531e+01,-1.015217544707374486e+01,0.000000000000000000e+00,-1.862119612758188048e+00,1.583426879852160907e+00,1.724918666129726574e+01,-2.384223028713685153e+02,-1.889192797685355918e-02,-8.975119482298710150e-02,6.792957713466054592e-01,1.105287790265574666e+00,2.877692955547008283e-02,2.179911019619449608e-01,6.871077307692667613e-02
8.006011030955885802e-03,-6.358055929117504279e-01,-4.319726404706320522e-01,2.515148910570554364e+01,-1.106736015226321612e+01,0.000000000000000000e+00,-1.860544684384464853e+00,1.600569750963895421e+00,1.701092737670082045e+01,-2.349616781050145846e+02,-2.159077483068981215e-02,-9.255623063627937963e-02,6.757432752028911249e-01,1.104971968756270906e+00,2.927427309362482660e-02,2.179747707084293273e-01,6.853008395580455214e-02
9.006762409825371310e-03,-6.362201097519033510e-01,-4.068082570911729645e-01,2.513902839631042596e+01,-1.198244292402636013e+01,0.000000000000000000e+00,-1.858954468415028316e+00,1.617475943091371438e+00,1.677621048681283256e+01,-2.315020653032404141e+02,-2.428962168452604778e-02,-9.535588912151622687e-02,6.721755628958417939e-01,1.104660051930105968e+00,2.977174519583893758e-02,2.179579988865633922e-01,6.835387183684875356e-02
1.000751378869485682e-02,-6.366090358317455511e-01,-3.816568024864588904e-01,2.512565049738168810e+01,-1.289742345479245067e+01,0.000000000000000000e+00,-1.857349048881952847e+00,1.634149001121621092e+00,1.654503599030695682e+01,-2.280434559167021007e+02,-2.698846853836230769e-02,-9.815554760675307411e-02,6.685927298060306834e-01,1.104351841068752949e+00,3.026928684222171886e-02,2.179407906719049437e-01,6.818216155172401871e-02
1.100826516756434233e-02,-6.369724227414380602e-01,-3.565191945181324651e-01,2.511135540886551709e+01,-1.381230140849229748e+01,0.000000000000000000e+00,-1.855728509817316407e+00,1.650592469941678075e+00,1.631740388556229604e+01,-2.245858396110487263e+02,-2.968731539219856067e-02,-1.009552060919899213e-01,6.649948713140307888e-01,1.104047137453886052e+00,3.076683901288247008e-02,2.179231502400116871e-01,6.801497793209512754e-02
1.200901654643382957e-02,-6.373103220711420214e-01,-3.313963510478357133e-01,2.509614313070300895e+01,-1.472707644207961941e+01,0.000000000000000000e+00,-1.854092935253190744e+00,1.666809894438574746e+00,1.609331417064568726e+01,-2.211292041325916102e+02,-3.238616224603486221e-02,-1.037548645772267686e-01,6.613820828004146612e-01,1.103745742367178373e+00,3.126434268793049087e-02,2.179050817664414108e-01,6.785234580962683226e-02
1.300976792530331508e-02,-6.376227854110185778e-01,-3.062891899372133242e-01,2.508001366283289713e+01,-1.750763881423644364e+01,0.000000000000000000e+00,-1.852442409221651598e+00,1.682804819499344351e+00,1.587276684329450838e+01,-2.196342702087071359e+02,-3.508500909987100069e-02,-1.065538010017857279e-01,6.577545918701599437e-01,1.103447475527062460e+00,3.176177701111413537e-02,2.178865888963525677e-01,6.769428795965704015e-02
1.401051930417280059e-02,-6.379098643512287614e-01,-2.811986290479061013e-01,2.506296700519000709e+01,-1.655631617123043142e+01,0.000000000000000000e+00,-1.850777015754773602e+00,1.698580790011019914e+00,1.565576190089690733e+01,-2.142188164764551459e+02,-3.778385595370730571e-02,-1.093490943762397694e-01,6.541129286480648064e-01,1.103152076429563033e+00,3.225924865017793658e-02,2.178676616984115688e-01,6.754082782442689947e-02
1.501127068304228609e-02,-6.381716104819340485e-01,-2.561255862415574569e-01,2.504500315770374286e+01,-1.747078004651458727e+01,0.000000000000000000e+00,-1.849096838884632499e+00,1.714141350860634239e+00,1.544229934047355357e+01,-2.107650292746879472e+02,-4.048270280754356215e-02,-1.121443877506937969e-01,6.504572242885872102e-01,1.102859321342588350e+00,3.275672296913952758e-02,2.178482994649354465e-01,6.739199998275879899e-02
1.601202206191177160e-02,-6.384080753932951380e-01,-2.310709793798099987e-01,2.502612212030070182e+01,-1.838513933584834348e+01,0.000000000000000000e+00,-1.847401962643302475e+00,1.729490046935219905e+00,1.523237915865927228e+01,-2.073121526149005831e+02,-4.318154966137980472e-02,-1.149396811251478384e-01,6.467875842199405367e-01,1.102569017891026348e+00,3.325414714467893329e-02,2.178285048293479575e-01,6.724783941240565499e-02
1.701277344078125711e-02,-6.386193106754735060e-01,-2.060357263243063897e-01,2.500632389290305468e+01,-1.929939356410039863e+01,0.000000000000000000e+00,-1.845692471062856832e+00,1.744630423121810825e+00,1.502600135168153273e+01,-2.038601630423272013e+02,-4.588039651521604728e-02,-1.177349744996018660e-01,6.431041138703380566e-01,1.102280973699764965e+00,3.375146835347619251e-02,2.178082804250727478e-01,6.710838109112042538e-02
1.801352481965074262e-02,-6.388053679186300737e-01,-1.810207449366892929e-01,2.498560847542873020e+01,-2.021354223307172759e+01,0.000000000000000000e+00,-1.843968448175375530e+00,1.759566024307438692e+00,1.482316591534253014e+01,-2.004090344815101616e+02,-4.857924336905229679e-02,-1.205294452812475658e-01,6.394069186679932626e-01,1.101994996393692139e+00,3.424863377221135791e-02,2.177876288855335463e-01,6.697365999665605418e-02
1.901427619852022813e-02,-6.389662987129259841e-01,-1.560269530786017322e-01,2.496397586779150046e+01,-2.112758482004171512e+01,0.000000000000000000e+00,-1.842229978012928093e+00,1.774300395379137862e+00,1.462387284499834728e+01,-1.969587381721311488e+02,-5.127809022288855323e-02,-1.233219686169371443e-01,6.356961040411196473e-01,1.101710893597696028e+00,3.474559057756446134e-02,2.177665528441539988e-01,6.684371110676549932e-02
2.001502757738971364e-02,-6.391021546485226024e-01,-1.310552686116867316e-01,2.494142606990224209e+01,-2.393814951795544488e+01,0.000000000000000000e+00,-1.840477144607591597e+00,1.788837081223940251e+00,1.442812213553837530e+01,-1.942487357183453298e+02,-5.397693707672479579e-02,-1.261144919526267227e-01,6.319717754179305924e-01,1.101428472936664571e+00,3.524228594621556243e-02,2.177450549343578623e-01,6.671856939920167706e-02
2.101577895625919915e-02,-6.392129873155809605e-01,-1.061066093975851221e-01,2.491795908166559670e+01,-2.295534951283676506e+01,0.000000000000000000e+00,-1.838710031991440896e+00,1.803179626728878437e+00,1.423591378136845442e+01,-1.900605129042334340e+02,-5.667578393056104530e-02,-1.289070152883163012e-01,6.282340382266394796e-01,1.101147542035485039e+00,3.573866705484468609e-02,2.177231377895688658e-01,6.659826985171753144e-02
2.201653033512868465e-02,-6.392988483042622017e-01,-8.118189329794169018e-02,2.489357490298264253e+01,-2.386907044086660434e+01,0.000000000000000000e+00,-1.836928724196550400e+00,1.817331576780987223e+00,1.404724777638625532e+01,-1.866125117737904588e+02,-5.937463078439729480e-02,-1.316995386240059074e-01,6.244830006139218126e-01,1.100867910022569340e+00,3.623468138024794893e-02,2.177008041910613867e-01,6.648284737879739392e-02
2.301728171399817016e-02,-6.393597892047273579e-01,-5.628203817439760004e-02,2.486827353375051786e+01,-2.478268294018845808e+01,0.000000000000000000e+00,-1.835133305254996072e+00,1.831296476267296747e+00,1.386212411396653188e+01,-1.831651982660382600e+02,-6.207347763823354431e-02,-1.344911408473170866e-01,6.207191051415964500e-01,1.100589371035160857e+00,3.673038402783614792e-02,2.176780572196504171e-01,6.637220623196318781e-02
2.401803309286765914e-02,-6.393958616071376833e-01,-3.140796188859702048e-02,2.484205497386096795e+01,-2.569618634680683300e+01,0.000000000000000000e+00,-1.833323859198850325e+00,1.845077870074843140e+00,1.368054278693936610e+01,-1.797185283021472912e+02,-6.477232449206986320e-02,-1.372815145884430099e-01,6.169426516134883798e-01,1.100311652544904373e+00,3.722581244105320486e-02,2.176548919548498828e-01,6.626619791788407321e-02
2.501878447173714465e-02,-6.394071171016543209e-01,-6.560582302182745539e-03,2.481491922320316590e+01,-2.660957998175035399e+01,0.000000000000000000e+00,-1.831500470060191121e+00,1.858679303090656765e+00,1.350250378757202974e+01,-1.762724543334579721e+02,-6.747117134590606413e-02,-1.400718883295689055e-01,6.131537608001437212e-01,1.100034566924150692e+00,3.772092041030893073e-02,2.176313095630332262e-01,6.616476113194075248e-02
2.601953585060663016e-02,-6.393936072784383029e-01,1.825918272320337446e-02,2.478686628166110850e+01,-2.945417797928836023e+01,0.000000000000000000e+00,-1.829663221871091316e+00,1.872104320201772643e+00,1.332800710755214801e+01,-1.724588763532987059e+02,-7.017001819974219567e-02,-1.428622620706948287e-01,6.093525534721087045e-01,1.099757926545250841e+00,3.821566172601315731e-02,2.176073112105741669e-01,6.606783456951394184e-02
2.702028722947611566e-02,-6.393553837276507723e-01,4.305041532591980663e-02,2.475789614911229108e+01,-2.843603508126721024e+01,0.000000000000000000e+00,-1.827812198663626431e+00,1.885356466295222466e+00,1.315705273796893593e+01,-1.693818867004704600e+02,-7.286886505357856314e-02,-1.456526358118207243e-01,6.055391503999295599e-01,1.099481543780555404e+00,3.870999017857570945e-02,2.175828980638462307e-01,6.597535692598430201e-02
2.802103860834560117e-02,-6.392924980394532053e-01,6.781219764432190600e-02,2.472800882543071310e+01,-2.934909504436875238e+01,0.000000000000000000e+00,-1.825947484469871984e+00,1.898439286258038816e+00,1.298964066930077976e+01,-1.659372800350903105e+02,-7.556771190741480571e-02,-1.484417769391547237e-01,6.017136723541521848e-01,1.099205231002415850e+00,3.920385955840640507e-02,2.175580712892230817e-01,6.588726689673254922e-02
2.902178998721508668e-02,-6.392050018040061898e-01,9.254361181676776238e-02,2.469720431048696696e+01,-3.026204223548226935e+01,0.000000000000000000e+00,-1.824069163321900833e+00,1.911356324977255161e+00,1.282577089139761739e+01,-1.624930432197802475e+02,-7.826655876125102052e-02,-1.512299497790736136e-01,5.978762401053231423e-01,1.098928800583182541e+00,3.969722365591507596e-02,2.175328320530782455e-01,6.580350317713937192e-02
3.002254136608457219e-02,-6.390929466114712021e-01,1.172437399816150805e-01,2.466548260414442595e+01,-3.117487584186589444e+01,0.000000000000000000e+00,-1.822177319251790717e+00,1.924111127339904748e+00,1.266544339346819115e+01,-1.590491102606746665e+02,-8.096540561508730471e-02,-1.540181226189924757e-01,5.940269744239883298e-01,1.098652064895207170e+00,4.019003626151154002e-02,2.175071815217853866e-01,6.572400446258545859e-02
3.102329274495405770e-02,-6.389563840520093851e-01,1.419116642772194903e-01,2.463284370626341158e+01,-3.208759499578283680e+01,0.000000000000000000e+00,-1.820272036291614492e+00,1.936707238233019934e+00,1.250865816407010378e+01,-1.556054112231469162e+02,-8.366425246892353340e-02,-1.568062954589113656e-01,5.901659960806940886e-01,1.098374836310840097e+00,4.068225116560562904e-02,2.174811208617180580e-01,6.564870944845153933e-02
