time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,elbow_torque_tvlqr,K1,K2,K3,K4,k0
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.445669895021048923e+00,-3.871752586993438427e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.271749819289615679e+01,1.821400402898514699e+02,2.302159332830555954e-14,1.020344757075023184e-03,-3.958487575826806770e-01,-6.200796806178281162e-02,1.330047175299142563e-02,9.187850873356571135e-01,-1.020344757052001668e-03
1.000318922565124813e-03,2.267178742217737700e-06,4.427705781672992488e-03,4.406907556618059552e+00,-3.878243444990215494e+01,0.000000000000000000e+00,-6.405399243009810776e-06,-1.263040997523125902e-02,-1.253525208883617381e+01,1.822359601014016732e+02,8.733912341924289589e-04,1.905683375854846408e-03,-3.947328724158227220e-01,-6.199622857550746158e-02,1.349713259981335720e-02,9.188283826935235155e-01,-1.168975239335276906e-03
2.000637845130249625e-03,9.039931749215776054e-06,8.816604387764504988e-03,4.368080288934291566e+00,-3.884734302986992560e+01,0.000000000000000000e+00,-2.549569933066284268e-05,-2.507846773350589850e-02,-1.235291003437364665e+01,1.823318799129518766e+02,1.746782468361836186e-03,2.809440128692726035e-03,-3.936022987006055351e-01,-6.198560403998584073e-02,1.369273558708455039e-02,9.188713685161659095e-01,-1.310214400793300107e-03
3.000956767695374221e-03,2.027508419151135210e-05,1.316663086828634595e-02,4.329188091969744967e+00,-3.891225160983769626e+01,0.000000000000000000e+00,-5.708205380089448490e-05,-3.734407729382062391e-02,-1.217047202950857887e+01,1.824277997245020799e+02,2.620173702531243196e-03,3.713196881530605661e-03,-3.924568987811755116e-01,-6.197621729820908254e-02,1.388741787624651544e-02,9.189137866379534225e-01,-1.443821483462051289e-03
4.001275690260499250e-03,3.592946123962171304e-05,1.747772027325032729e-02,4.290230965724419754e+00,-3.897716018980546693e+01,0.000000000000000000e+00,-1.009756161916401673e-04,-4.942714267517214766e-02,-1.198793807424096514e+01,1.825237195360522833e+02,3.493564936700650856e-03,4.644001974728875770e-03,-3.912968499334202876e-01,-6.196772905351418531e-02,1.408098964170491005e-02,9.189558380548297212e-01,-1.570228674360871950e-03
5.001594612825624279e-03,5.595988806406409675e-05,2.174980765266825919e-02,4.251208910198315927e+00,-3.904206876977323759e+01,0.000000000000000000e+00,-1.569875400408352994e-04,-6.132756789655718910e-02,-1.180530816857081255e+01,1.826196393476024866e+02,4.366956170870058516e-03,5.577779471473272473e-03,-3.901223638367338209e-01,-6.195975228693732101e-02,1.427322797613527275e-02,9.189977711791913473e-01,-1.689936881939945726e-03
6.001913535390748441e-03,8.032318983535569707e-05,2.598282805655193622e-02,4.212121925391433486e+00,-3.910697734974100825e+01,0.000000000000000000e+00,-2.249289788864151484e-04,-7.304525697697242248e-02,-1.162258231249811402e+01,1.827155591591526900e+02,5.240347405039464876e-03,6.517366145577476420e-03,-3.889333445942053658e-01,-6.195241703589169507e-02,1.446429498182545334e-02,9.190393252747462993e-01,-1.802662529174359294e-03
7.002232457955873471e-03,1.089761917240138298e-04,3.017671653491318592e-02,4.172970011303773319e+00,-3.917188592970877892e+01,0.000000000000000000e+00,-3.046110862663153136e-04,-8.458011393541460532e-02,-1.143976050602287664e+01,1.828114789707028933e+02,6.113738639208872103e-03,7.465602050725320647e-03,-3.877297476818508115e-01,-6.194573390171402572e-02,1.465425305617488148e-02,9.190803679627760348e-01,-1.908319764906542954e-03
8.002551380520998500e-03,1.418757189005556685e-04,3.433140813776381500e-02,4.133753167935333650e+00,-3.923679450967654958e+01,0.000000000000000000e+00,-3.958450157184710419e-04,-9.593204279088039799e-02,-1.125684274914509331e+01,1.829073987822530967e+02,6.987129873378280197e-03,8.413837955873164007e-03,-3.865117494772032924e-01,-6.193934370123049815e-02,1.484288577708160403e-02,9.191211356823146827e-01,-2.007391613634721458e-03
9.002870303086123530e-03,1.789785965354985086e-04,3.844683791511561977e-02,4.094471395286114479e+00,-3.930170308964432024e+01,0.000000000000000000e+00,-4.984419207808178784e-04,-1.071009475623665580e-01,-1.107382904186477113e+01,1.830033185938033000e+02,7.860521107547686556e-03,9.366084659138658799e-03,-3.852794648280574163e-01,-6.193301857899959767e-02,1.503008108342234958e-02,9.191617289313998018e-01,-2.100151684788994794e-03
