time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,K1,K2,K3,K4,k0,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.765277209351479542e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.028441040062173124e+04,3.613259624072682010e-16,-4.597805130045776956e+00,9.741032610565659722e-01,4.630522794224844335e-02,7.476656372574126408e-01,6.231723593600468902e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.231723593596855256e-04
1.000646755968507846e-03,1.909155804546873326e-06,4.388585325422089851e-03,4.325151883983019196e+00,-1.149286678612802319e+02,-4.869609348819387867e-06,-1.244319357623401186e-02,-1.214698713259872598e+01,5.253754101586931711e+02,2.884655742195724008e-03,-4.610382957179592012e+00,9.719933867849903653e-01,4.822404720191839772e-02,7.480749061970899394e-01,4.043090887886977968e-04,2.219174357711567724e-06,4.405686398351902483e-03,-6.322845698090576000e-06,-1.252065920045146441e-02,2.574538007310934323e-03
2.001293511937015691e-03,7.575550979929237595e-06,8.657551159902545507e-03,4.205817650985236078e+00,-1.235855376482986117e+02,-1.919103388298988550e-05,-2.432274793899907861e-02,-1.158451180273434744e+01,5.988481512717709165e+02,5.769311484391085459e-03,-4.622869907438622583e+00,9.699005357772878533e-01,5.017308078431770291e-02,7.484901468401334856e-01,1.392570742897891625e-04,9.268065211556906745e-06,8.709081113972318156e-03,-2.624623672366678420e-05,-2.455656960138461950e-02,5.828859753771608969e-03
3.001940267905523537e-03,1.690757716875973508e-05,1.280734776644409240e-02,4.086932464955957300e+00,-1.138155277765051778e+02,-4.253316833408004054e-05,-3.564079347167206646e-02,-1.102413963210865511e+01,5.176769134151254548e+02,8.653967226586449513e-03,-4.635266390519899637e+00,9.678245533211337071e-01,5.215035868692885490e-02,7.489110216984493640e-01,-1.208170360052395940e-04,1.925519141433737098e-05,1.289432339378774987e-02,-5.428737956473569096e-05,-3.601910089717032248e-02,9.077691363444394951e-03
4.002587023874031383e-03,2.981362601365096908e-05,1.683842540804944207e-02,3.968496248904244350e+00,-1.132499279775300920e+02,-7.446490743365834978e-05,-4.639946055762980692e-02,-1.046586665133555094e+01,5.135577772748795269e+02,1.153862296878181183e-02,-4.647571796517152798e+00,9.657658052759908740e-01,5.415535593873364861e-02,7.493374679027861029e-01,-3.585736964974761730e-04,3.449658308517124776e-05,1.695991272117970683e-02,-9.661366288259811482e-05,-4.692072218331965611e-02,1.231350304600114208e-02
5.003233779842538795e-03,4.620208915721556197e-05,2.075123434772132430e-02,3.850508917054764613e+00,-1.126776141517795367e+02,-1.145551459132933194e-04,-5.660087958024916793e-02,-9.909688034463888684e+00,5.092190744905197448e+02,1.442327871097717241e-02,-4.659785728811380423e+00,9.637246900709586228e-01,5.618752097348702484e-02,7.497694393276249647e-01,-5.771410543167497563e-04,5.335468024446253591e-05,2.090656761600941105e-02,-1.485343078465068832e-04,-5.724642670745429263e-02,1.554181984581301003e-02
6.003880535811047074e-03,6.598135824206617000e-05,2.454622484846245845e-02,3.732970373558214927e+00,-1.120979883949069915e+02,-1.623727785045535300e-04,-6.624718092290698968e-02,-9.355597854751898979e+00,5.046224021879010593e+02,1.730793445317253820e-02,-4.671906016224792957e+00,9.617015366726179293e-01,5.824705618064517088e-02,7.502068902621221724e-01,-7.701035493948659274e-04,7.630644759362860798e-05,2.473837534339732094e-02,-2.110152444570255839e-04,-6.703300687538274460e-02,1.873876124342684427e-02
7.004527291779555354e-03,8.905982491081539858e-05,2.822384717327556386e-02,3.615880510967701689e+00,-1.115103796467562631e+02,-2.174866999390074403e-04,-7.534049496898012621e-02,-8.803588751827517100e+00,4.997198391087427467e+02,2.019259019536790573e-02,-4.683931924036150996e+00,9.596967000107703427e-01,6.033351382709174066e-02,7.506497760556871679e-01,-9.420855621900902201e-04,1.029016687976521972e-04,2.845246134300876903e-02,-2.826835465801227324e-04,-7.625155922216288185e-02,2.193266905896075827e-02
8.005174047748062766e-03,1.153458808060758362e-04,3.178455158516336337e-02,3.499239208429938408e+00,-1.109140321474424127e+02,-2.794658049482235903e-04,-8.388295210184541773e-02,-8.253651470309000260e+00,4.944507984925674009e+02,2.307724593756326284e-02,-4.695862533285459328e+00,9.577105161600633076e-01,6.244656339718267918e-02,7.510980500073618504e-01,-1.096751081168848962e-03,1.331921873617598093e-04,3.205162498506370500e-02,-3.633744086904944996e-04,-8.492900407816576791e-02,2.509553782001316610e-02
9.005820803716570178e-03,1.447479175704601256e-04,3.522878834712855900e-02,3.383046329527077400e+00,-1.103080916349627643e+02,-3.478789882637704388e-04,-9.187668270487976685e-02,-7.705774207987323265e+00,4.887375422360827883e+02,2.596190167975862342e-02,-4.707695814299269976e+00,9.557432663901492820e-01,6.458638038214206678e-02,7.515516648299739311e-01,-1.230167736897164925e-03,1.670510188448968178e-04,3.553461877489368093e-02,-4.525506378017012327e-04,-9.304987601081594895e-02,2.825840658106557046e-02
1.000646755968507759e-02,1.771743268465809636e-04,3.855700772217389438e-02,3.267301719687695449e+00,-1.096915887536704304e+02,-4.222951446172166882e-04,-9.932381716145999295e-02,-7.159941675089856794e+00,4.824786402167973733e+02,2.884655742195398748e-02,-4.719431188892045270e+00,9.537952685904685923e-01,6.675240228429633882e-02,7.520105739749370910e-01,-1.345381625252271710e-03,2.042507161169333893e-04,3.890218659622772523e-02,-5.493443226691733941e-04,-1.006231475364150751e-01,3.138657880085633789e-02
1.100711431565358674e-02,2.125335002770508709e-04,4.176965997330207847e-02,3.152005203063240391e+00,-1.090634189891552381e+02,-5.022831687401306620e-04,-1.062264858549628738e-01,-6.616133703300208779e+00,4.755391838543848166e+02,3.173121316414935500e-02,-4.731067807044742501e+00,9.518668185541134807e-01,6.894424785186310800e-02,7.524747303367279594e-01,-1.443023843966967368e-03,2.448832453672437144e-04,4.215539349084477388e-02,-6.537553144043402407e-04,-1.076547761324730401e-01,3.451423150610042484e-02
1.200776107162209415e-02,2.507338295044826259e-04,4.486719536351584797e-02,3.037156578736545764e+00,-1.084223182547600999e+02,-5.874119553640809541e-04,-1.125868191687654229e-01,-6.074323131335322756e+00,4.677357011904192632e+02,3.461586890634471558e-02,-4.742603759172016709e+00,9.499581484037401546e-01,7.116210880399193028e-02,7.529440870174316514e-01,-1.518349948095826891e-03,2.885615499859872039e-04,4.529275988109040391e-02,-7.645417476677404201e-04,-1.141306693966653574e-01,3.760880846544824990e-02
1.300840782759060156e-02,2.916837061714886814e-04,4.785006415581789796e-02,2.922755616089673936e+00,-1.077668329836855889e+02,-6.772503992206361590e-04,-1.184069474862443350e-01,-5.534472486450248141e+00,4.588120856719343692e+02,3.750052464854009004e-02,-4.754038231101946899e+00,9.480695254042136311e-01,7.340548807131717923e-02,7.534185942902644761e-01,-1.577234998210108163e-03,3.354865709517043919e-04,4.831760917653560999e-02,-8.819502160099847990e-04,-1.200819106922654811e-01,4.069893747002931855e-02
1.400905458355911071e-02,3.352915219206817343e-04,5.071871661321096514e-02,2.808802049105194598e+00,-1.070952832325676098e+02,-7.713673950413646539e-04,-1.236890011907765541e-01,-4.996528578039984403e+00,4.483995835862950798e+02,4.038518039073543675e-02,-4.765370341427814793e+00,9.462012010150898655e-01,7.567398476968513477e-02,7.538982030152592273e-01,-1.621715497276692399e-03,3.852070429219153574e-04,5.122628217902200354e-02,-1.004607048566538404e-03,-1.254677898333831920e-01,4.376070700569552330e-02
1.500970133952761812e-02,3.814656683946743461e-04,5.347360299869776540e-02,2.695295569302976091e+00,-1.064057168085885223e+02,-8.693318375578349246e-04,-1.284351106657389274e-01,-4.460413291211096087e+00,4.359469414323947376e+02,4.326983613293079733e-02,-4.776598463905648018e+00,9.443533647292345901e-01,7.796773078961781456e-02,7.543828680648928531e-01,-1.641394795222658352e-03,4.379561488007318606e-04,5.402418756611573197e-02,-1.132819802445880547e-03,-1.303479470624640535e-01,4.681436914784225384e-02
1.601034809549612553e-02,4.301145372360791865e-04,5.611517357528102157e-02,2.582235816915578130e+00,-1.056958517667220860e+02,-9.707126215016156738e-04,-1.326474062945082466e-01,-3.926007050736457948e+00,4.205909150891841932e+02,4.615449187512615792e-02,-4.787721595356057236e+00,9.425262349526936090e-01,8.028628855167009581e-02,7.548725369108848504e-01,-1.646043800611244430e-03,4.932752514790739434e-04,5.670586192656335012e-02,-1.265213437856124463e-03,-1.346514540227057577e-01,4.984603348909965453e-02
1.701099485146463294e-02,4.811465200875088711e-04,5.864387860596345647e-02,2.469622369767444869e+00,-1.049630036822442918e+02,-1.075078641604275279e-03,-1.363280184604614420e-01,-3.393117105856084947e+00,4.008974035857958143e+02,4.903914761732152544e-02,-4.798738780269075299e+00,9.407200186262373309e-01,8.262925235312125471e-02,7.553671577304974516e-01,-1.640352542089291727e-03,5.513884411382053785e-04,5.927845687446525041e-02,-1.402068990070412611e-03,-1.384720303141107889e-01,5.286705275190463349e-02
1.801164160743314036e-02,5.344700085915760155e-04,6.106016835374779989e-02,2.357454729129262905e+00,-1.042039927771810426e+02,-1.181998792597382334e-03,-1.394790775469753330e-01,-2.861411443847496905e+00,3.742904814986496831e+02,5.192380335951688602e-02,-4.809648678020901791e+00,9.389348619978379329e-01,8.499668365694382222e-02,7.558666871899379913e-01,-1.603086635245069749e-03,6.118608703805322822e-04,6.173506090283599479e-02,-1.542070636192012468e-03,-1.417006863028956454e-01,5.586601622821116969e-02
1.901228836340164777e-02,5.899933943908932353e-04,6.336449308163671912e-02,2.245732301542215037e+00,-1.034150240679448700e+02,-1.291041969212505108e-03,-1.421027139374267112e-01,-2.330265294446211222e+00,3.356114964726619974e+02,5.480845910171224661e-02,-4.820450139116366550e+00,9.371709359775135528e-01,8.738820087986304275e-02,7.563710704547914609e-01,-1.551612967008859012e-03,6.748845616486457213e-04,6.408419046137932285e-02,-1.685433666936822028e-03,-1.444777336037392779e-01,5.884834844419655625e-02
2.001293511937015518e-02,6.476250691280732545e-04,6.555730305263302027e-02,2.134454375205344423e+00,-1.025915309269877156e+02,-1.401777066181212738e-03,-1.442010580151925903e-01,-1.798347203809716133e+00,2.726800144318452226e+02,5.769311484390760719e-02,-4.831142105486524230e+00,9.354284027684450775e-01,8.980340486496553309e-02,7.568802521812858508e-01,-1.498049653535180178e-03,7.400656976225102523e-04,6.631764851771614067e-02,-1.830926914545174915e-03,-1.466364939585379223e-01,6.181132451489720209e-02
2.101358187533866606e-02,7.072734244457292308e-04,6.763904852973938453e-02,2.023620088929626526e+00,-1.017279683089894604e+02,-1.513772978235073926e-03,-1.457762401636495675e-01,-1.262225923699574981e+00,1.470663977090248977e+02,6.057777058610298165e-02,-4.841723509933395952e+00,9.337073625883607342e-01,9.224227226579875816e-02,7.573941891576709828e-01,-1.403902714197616036e-03,8.075515224119720736e-04,6.844498546851598975e-02,-1.978684352228370687e-03,-1.484034309324184786e-01,6.475214868948608871e-02
2.201422863130717347e-02,7.688468519864723703e-04,6.961017977595848616e-02,1.913228390777431676e+00,-1.008175356728621352e+02,-1.626598600105655422e-03,-1.468303907661747676e-01,-7.095367044618772212e-01,-2.996784596928674773e+02,6.346242632829834918e-02,-4.852193087139565542e+00,9.320079472015893041e-01,9.470450305814358261e-02,7.579128301476250051e-01,-1.303766211437108963e-03,8.769990351483954215e-04,7.045680813972436674e-02,-2.127571094181855433e-03,-1.494271789588344501e-01,6.771513162294161281e-02
2.301487538727568088e-02,8.322537433929163729e-04,7.147114705429311043e-02,1.803277982154473769e+00,-9.985180000220627505e+01,-1.739822826524527449e-03,-1.473656402061448711e-01,-3.570091565368790909e-02,3.198267363598480273e+01,6.634708207049370976e-02,-4.862549640854334498e+00,9.303302838544341702e-01,9.718975519877494362e-02,7.584361227079846612e-01,-1.245702079707948582e-03,9.485047247668332163e-04,7.236362374680443965e-02,-2.277637387364734364e-03,-1.500846987791260856e-01,7.071707703839767711e-02
2.401552214324418830e-02,8.974024903076736372e-04,7.322240062774593161e-02,1.693767241013844460e+00,-9.882017416905581797e+01,-1.853014552223258057e-03,-1.473841188669368085e-01,0.000000000000000000e+00,1.644557541860872334e+03,6.923173781268907034e-02,-4.872792360609752293e+00,9.286744220097538083e-01,9.969789856538389949e-02,7.589640202909939681e-01,-1.234137522364828861e-03,1.021775288688808259e-03,7.415274096296678441e-02,-2.427820652794825378e-03,-1.502439989965875522e-01,7.370095016017061407e-02
2.501616889921269571e-02,9.642014843733569956e-04,7.486439075931974885e-02,1.584694114462104730e+00,-9.770918138596802294e+01,-1.965742671933416383e-03,-1.468879571319273714e-01,6.647125559255611105e-01,9.655403429078605768e+02,7.211639355488444481e-02,-4.882919966356668695e+00,9.270404295772752823e-01,1.022285980956901541e-01,7.594964570642906976e-01,-1.202283466841647108e-03,1.096850662913789742e-03,7.583308796201555790e-02,-2.578070152074807622e-03,-1.497451735522464800e-01,7.663305171161823026e-02
2.601681565518120312e-02,1.032559117232577980e-03,7.639756771201715313e-02,1.476055965533623393e+00,-9.650139573289483508e+01,-2.077576080386568744e-03,-1.458792853844934068e-01,1.211551896032015740e+00,7.904318852687167691e+02,7.500104929707979151e-02,-4.892931164724235060e+00,9.254283770734368364e-01,1.047814824977710974e-01,7.600333666643003250e-01,-1.088481229324583062e-03,1.173497441027857805e-03,7.739928167443685392e-02,-2.727444250311430313e-03,-1.489088154834070643e-01,7.955604421054954245e-02
2.701746241114971053e-02,1.102383780527951048e-03,7.782238174884101300e-02,1.367849349565412709e+00,-9.517387889728520634e+01,-2.188083672314286229e-03,-1.443602340080118451e-01,1.735633324838814273e+00,7.113055805283705695e+02,7.788570503927515210e-02,-4.902825305101108810e+00,9.238382907048764414e-01,1.073564347835910815e-01,7.605747192403105039e-01,-9.603328728480744645e-04,1.251698037193830571e-03,7.886076885881523890e-02,-2.875775396152864104e-03,-1.474429801500490300e-01,8.242936545999625386e-02
2.801810916711822141e-02,1.173583865902087624e-03,7.913928313279393334e-02,1.260069679308555735e+00,-9.369580899243483429e+01,-2.296834342448136456e-03,-1.423329333858595058e-01,2.250821441992756355e+00,6.653153409114987653e+02,8.077036078147052656e-02,-4.912601089386054554e+00,9.222701997833361309e-01,1.099531816129081935e-01,7.611204533657122129e-01,-8.312067401153856684e-04,1.331280787595700687e-03,8.021074668813524267e-02,-3.022273050102874340e-03,-1.454581887274185859e-01,8.530144227126895684e-02
2.901875592308672883e-02,1.246067764997600214e-03,8.034872212687867166e-02,1.152710708350930480e+00,-9.202476725341931285e+01,-2.403396985519687477e-03,-1.397995139014132360e-01,2.760830415129075899e+00,6.347845847367259466e+02,8.365501652366588714e-02,-4.922257105022935342e+00,9.207241320080705727e-01,1.125713866650637635e-01,7.616704984083584318e-01,-6.855786931740778713e-04,1.412205381258258615e-03,8.144956116838503180e-02,-3.166444320873179619e-03,-1.429768173164708001e-01,8.815044990594080032e-02
3.001940267905523624e-02,1.319743869457101759e-03,8.145114899409797160e-02,1.045763706416971583e+00,-1.217309888034659195e+02,-2.507340496260508211e-03,-1.367621059380498827e-01,3.267075916035246053e+00,3.770520057215813381e+02,8.653967226586123385e-02,-4.931792866006421860e+00,9.192000658151388004e-01,1.152108471701639714e-01,7.622248226340315735e-01,-5.306167263975417568e-04,1.494263528338951597e-03,8.258988627648518321e-02,-3.308194842082571186e-03,-1.399892938151040267e-01,9.099945754061264380e-02
3.102004943502374365e-02,1.394520570923205418e-03,8.244701399745452131e-02,9.392160884603233395e-01,-8.783566519366414127e+01,-2.608233769402167144e-03,-1.332228398791462931e-01,3.770214914268878115e+00,5.958664807044361851e+02,8.942432800805660831e-02,-4.941207118277931798e+00,9.176979834980089068e-01,1.178713029801892742e-01,7.627833631790266189e-01,-3.694071296965125177e-04,1.577396864476839078e-03,8.362245367511141059e-02,-3.446728793782476846e-03,-1.365180059168751292e-01,9.383240394738157075e-02
3.202069619099225106e-02,1.470306261038523046e-03,8.333676739995105054e-02,8.330490231273924850e-01,-8.509541647337601944e+01,-2.705645699676232762e-03,-1.291838461080792311e-01,4.270593889401149923e+00,5.823756117904247276e+02,9.230898375025196889e-02,-4.950498343814428104e+00,9.162178696756800855e-01,1.205524527967486159e-01,7.633460441050441414e-01,-1.995156931532890421e-04,1.661600559155594495e-03,8.453560934631509927e-02,-3.581032106249042602e-03,-1.324991515239827278e-01,9.665307655276597631e-02
3.302134294696076194e-02,1.547009331445667150e-03,8.412085946459033070e-02,7.272330085213621897e-01,-8.166413178226262914e+01,-2.799145181814273117e-03,-1.246472550082257658e-01,4.768412874497121479e+00,5.712220023713556429e+02,9.519363949244734335e-02,-4.959666164682132283e+00,9.147596593175705282e-01,1.232540330464007017e-01,7.639128340728208455e-01,-2.106829539029437355e-05,1.746586598739870676e-03,8.535872036354909265e-02,-3.711677365342869270e-03,-1.280190229226480791e-01,9.947035313042247584e-02
3.402198970292926589e-02,1.624538173787251107e-03,8.479974045437498054e-02,6.217190669519858659e-01,-7.717073753770083044e+01,-2.888301110547858864e-03,-1.196151969629626055e-01,5.263795434812828411e+00,5.617509153868676322e+02,9.807829523464269006e-02,-4.968709410143187455e+00,9.133232889757463280e-01,1.259757899824394123e-01,7.644836704776192260e-01,1.639437527894734427e-04,1.832316625677865053e-03,8.606363699652538890e-02,-3.837139101301095378e-03,-1.230607729347361207e-01,1.022751110377385225e-01
