time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.445669895023219631e+00,-6.462891141620337976e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.271749819290653072e+01,3.034281650931081344e+02,-3.775758143343748647e-14
1.000482364143348091e-03,2.060174518721620278e-06,4.415493554837625866e-03,4.381084370852275534e+00,-6.447985948401169765e+01,-5.442953133020993236e-06,-1.257191284499116143e-02,-1.241434546451607801e+01,3.025849726797384278e+02,1.436615227834673681e-03
2.000964728286696182e-03,8.205429519331423099e-06,8.766445029644010650e-03,4.316647970510829602e+00,-6.433080755182001553e+01,-2.161381034904266739e-05,-2.484094873461629993e-02,-1.211203633526478107e+01,3.017417802663686643e+02,2.873230455707104919e-03
3.001447092430044490e-03,1.838286216849682102e-05,1.305300362018064347e-02,4.252360693998884500e+00,-6.418175561962833342e+01,-4.827556837350305567e-05,-3.680795167493655651e-02,-1.181057080515263813e+01,3.008985878529989577e+02,4.309845683579536374e-03
4.001929456573392364e-03,3.253956963288522151e-05,1.727531852220900999e-02,4.188222541316436676e+00,-6.403270368743663710e+01,-8.519122393184019805e-05,-4.847376567201305136e-02,-1.150994887417965273e+01,3.000553954396292511e+02,5.746460911451966962e-03
5.002411820716740239e-03,5.062264907916404433e-05,2.143353893149059844e-02,4.124233512463489681e+00,-6.388365175524496209e+01,-1.321237737494921260e-04,-5.983923473190692899e-02,-1.121017054234582488e+01,2.992122030262595445e+02,7.183076139324397549e-03
6.002894184860088980e-03,7.257919767400071432e-05,2.552781404378690056e-02,4.060393607440040853e+00,-6.373459982305327287e+01,-1.888362145518968983e-04,-7.090520286067930611e-02,-1.091123580965115103e+01,2.983690106128897810e+02,8.619691367196830739e-03
7.003376549003436854e-03,9.835631258406261565e-05,2.955829305485939418e-02,3.996702826246092410e+00,-6.358554789086159076e+01,-2.550915430644925598e-04,-8.167251406439131334e-02,-1.061314467609563295e+01,2.975258181995200744e+02,1.005630659506926046e-02
8.003858913146784729e-03,1.279010909760171732e-04,3.352512516046957797e-02,3.933161168881643022e+00,-6.343649595866990865e+01,-3.306527560127171285e-04,-9.214201234910410210e-02,-1.031589714167927063e+01,2.966826257861503677e+02,1.149292182294169191e-02
9.004341277290132603e-03,1.611606300165317914e-04,3.742845955637892630e-02,3.869768635346692687e+00,-6.328744402647821943e+01,-4.152828501220085953e-04,-1.023145417208787961e-01,-1.001949320640206409e+01,2.958394333727806043e+02,1.292953705081412337e-02
1.000482364143348048e-02,1.980820268722739154e-04,4.126844543834894130e-02,3.806525225641241406e+00,-6.313839209428653731e+01,-5.087448221178050324e-04,-1.121909461857765328e-01,-9.723932870264015094e+00,2.949962409594108976e+02,1.436615227868655309e-02
1.100530600557682835e-02,2.386123787099108957e-04,4.504523200214110429e-02,3.743430939765289622e+00,-6.298934016209485520e+01,-6.108016687255444577e-04,-1.217720697498584081e-01,-9.429216133265121869e+00,2.941530485460411910e+02,1.580276750655898454e-02
1.200578836972017796e-02,2.826987826961102450e-04,4.875896844351691045e-02,3.680485777718836893e+00,-6.284028822990317309e+01,-7.212163866706651060e-04,-1.310587564191856014e-01,-9.135342995405380861e+00,2.933098561326714844e+02,1.723938273443141947e-02
1.300627073386352583e-02,3.302883359975393408e-04,5.240980395823782723e-02,3.617689739501883661e+00,-6.269123629771148387e+01,-8.397519726786047784e-04,-1.400518501998192500e-01,-8.842313456684799178e+00,2.924666637193017209e+02,1.867599796230384745e-02
1.400675309800687371e-02,3.813281357808654521e-04,5.599788774206535674e-02,3.555042825114429483e+00,-6.254218436551980176e+01,-9.661714234748016014e-04,-1.487521950978204222e-01,-8.550127517103373265e+00,2.916234713059320143e+02,2.011261319017627891e-02
1.500723546215022158e-02,4.357652792127561731e-04,5.952336899076099419e-02,3.492545034556474803e+00,-6.239313243332811965e+01,-1.100237735784693593e-03,-1.571606351192503248e-01,-8.258785176661103122e+00,2.907802788925623076e+02,2.154922841804871037e-02
1.600771782629356946e-02,4.935468634598788812e-04,6.298639690008621395e-02,3.430196367828019177e+00,-6.224408050113643043e+01,-1.241713906333718771e-03,-1.652780142701699984e-01,-7.968286435357986974e+00,2.899370864791925442e+02,2.298584364592114182e-02
1.700820019043691733e-02,5.546199856889009539e-04,6.638712066580249038e-02,3.367996824929063049e+00,-6.209502856894474832e+01,-1.390362931847315261e-03,-1.731051765566406775e-01,-7.678631293194028373e+00,2.890938940658228375e+02,2.442245887379357328e-02
1.800868255458026521e-02,6.189317430664897143e-04,6.972568948367133257e-02,3.305946405859606418e+00,-6.194597663675306620e+01,-1.545947809050920866e-03,-1.806429659847234026e-01,-7.389819750169225543e+00,2.882507016524531309e+02,2.585907410166600473e-02
1.900916491872361308e-02,6.864292327593128108e-04,7.300225254945423570e-02,3.244045110619648842e+00,-6.179692470456138409e+01,-1.708231534669974036e-03,-1.878922265604794084e-01,-7.101851806283577595e+00,2.874075092390834243e+02,2.729568932953843272e-02
2.000964728286696095e-02,7.570595519340374583e-04,7.621695905891265332e-02,3.182292939209190319e+00,-6.164787277236969487e+01,-1.876977105429912356e-03,-1.948538022899697353e-01,-6.814727461537087194e+00,2.865643168257136608e+02,2.873230455741086417e-02
