meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store
5.759477615356445312e-03,nan,-5.133657823572259638e-01,nan,-5.142561236634722588e-02,nan,-1.988230848698276709e+00,nan,5.236681452230602940e-02,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
1.005339622497558594e-02,nan,-5.132198044779787693e-01,nan,6.620233982556464336e-02,nan,-1.988374659397140976e+00,nan,-6.685897840767346390e-02,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
1.394748687744140625e-02,nan,-5.132979279424692010e-01,nan,-3.157536134288966428e-02,nan,-1.988294702146600423e+00,nan,3.091879701200068650e-02,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
1.777029037475585938e-02,nan,-5.146553928858250693e-01,nan,-4.920771546485789849e-01,nan,-1.986936552408498091e+00,nan,4.914205855713335569e-01,nan,1.908908605575561523e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
2.167701721191406250e-02,nan,-5.183635680315017424e-01,nan,-7.043660735246340954e-01,nan,-1.983325368388188847e+00,nan,7.841231542196268611e-01,nan,2.758264303207397461e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
2.548503875732421875e-02,nan,-5.182903434287342570e-01,nan,-9.016652487247450720e-02,nan,-1.982478420743705616e+00,nan,1.608686747688729546e-01,nan,2.791400432586669922e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
2.932333946228027344e-02,nan,-5.180517149334171734e-01,nan,8.573101720326845032e-02,nan,-1.982622231442569882e+00,nan,3.344213759355007393e-02,nan,2.385238885879516602e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
3.320002555847167969e-02,nan,-5.188623216463765786e-01,nan,-2.082299409632056841e-01,nan,-1.981615556550519797e+00,nan,2.725246917244416034e-01,nan,2.386355638504028320e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
3.697824478149414062e-02,nan,-5.196955893579842112e-01,nan,-1.215792989954617848e-01,nan,-1.980528924407929381e+00,nan,2.428760001888606579e-01,nan,2.604501485824584961e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
4.087018966674804688e-02,nan,-5.200600456105894942e-01,nan,-4.875035645475582491e-02,nan,-1.980033638863012868e+00,nan,1.274352152053691012e-01,nan,2.473949432373046875e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
4.466390609741210938e-02,nan,-5.207004416015079684e-01,nan,-6.143245154057167673e-02,nan,-1.979650143666041417e+00,nan,1.059871157716513190e-01,nan,2.454468488693237305e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
4.847311973571777344e-02,nan,-5.213840661467279425e-01,nan,-2.297326182944389450e-01,nan,-1.978451721175505718e+00,nan,2.908186344491576758e-01,nan,2.493320703506469727e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
5.232548713684082031e-02,nan,-5.217173802637926627e-01,nan,-6.499104853232501311e-02,nan,-1.977780604580805734e+00,nan,1.495139142546634548e-01,nan,2.586336851119995117e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
5.612516403198242188e-02,nan,-5.223347014787114162e-01,nan,-1.750922847357012646e-01,nan,-1.977077467635186769e+00,nan,2.100729763941085182e-01,nan,2.460954666137695312e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
5.999088287353515625e-02,nan,-5.227178203470446149e-01,nan,-8.015726356104084516e-02,nan,-1.976342497592162850e+00,nan,1.955641176876204701e-01,nan,2.507767677307128906e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
6.382656097412109375e-02,nan,-5.231113148416106640e-01,nan,-9.666291676038366032e-02,nan,-1.975751338248003419e+00,nan,1.236501428904856897e-01,nan,2.554180383682250977e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
6.767845153808593750e-02,nan,-5.238968916001836007e-01,nan,-9.633273654000457098e-02,nan,-1.975192012001248720e+00,nan,1.179727450783639997e-01,nan,2.515211820602416992e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
7.154107093811035156e-02,nan,-5.243890937697268662e-01,nan,-1.251225971150350946e-01,nan,-1.974616769205791655e+00,nan,1.728545498458229634e-01,nan,2.485963106155395508e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
7.540607452392578125e-02,nan,-5.250971462978477611e-01,nan,-1.757338522057202979e-01,nan,-1.973721884661686854e+00,nan,2.447685012362684764e-01,nan,2.382460594177246094e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
7.921528816223144531e-02,nan,-5.261249821554017103e-01,nan,-1.967426322687848561e-01,nan,-1.972491629073746422e+00,nan,3.248830915419557153e-01,nan,2.513296365737915039e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
8.312344551086425781e-02,nan,-5.268382505119686421e-01,nan,-1.971259246077825544e-01,nan,-1.971293206583210722e+00,nan,3.204673259847385935e-01,nan,2.501095294952392578e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
8.699011802673339844e-02,nan,-5.278599064328082235e-01,nan,-2.055153912670608929e-01,nan,-1.970014826842134692e+00,nan,3.400229360743932117e-01,nan,2.510908603668212891e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
9.086608886718750000e-02,nan,-5.291899159490025539e-01,nan,-1.982014489759435505e-01,nan,-1.968480846054249112e+00,nan,3.955354106774965905e-01,nan,2.466657400131225586e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
9.471249580383300781e-02,nan,-5.305979313436530731e-01,nan,-3.161251952712163527e-01,nan,-1.966435475919230180e+00,nan,5.746895081361920177e-01,nan,2.444025993347167969e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
9.850287437438964844e-02,nan,-5.320603051988967991e-01,nan,-3.521161643712262257e-01,nan,-1.964182441637023047e+00,nan,6.585891473500733451e-01,nan,2.295453548431396484e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
1.024122238159179688e-01,nan,-5.340262646542601743e-01,nan,-3.565500862372343316e-01,nan,-1.961082646963846932e+00,nan,8.339584299674672740e-01,nan,2.505020856857299805e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan
