meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,state_machine_flag
6.228208541870117188e-03,nan,-5.356645320262356513e-01,nan,-2.613125582458238061e-02,nan,-1.975767254796705785e+00,nan,2.585389959297887744e-02,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.053047180175781250e-02,nan,-5.356249022211363453e-01,nan,2.045041391319059668e-02,nan,-1.975815191696327355e+00,nan,-2.019629359955158257e-02,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.457166671752929688e-02,nan,-5.356977439808980890e-01,nan,-3.739044614381441256e-02,nan,-1.975751338248003419e+00,nan,3.657790249645923031e-02,nan,7.425124049186706543e-01,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.852488517761230469e-02,nan,-5.383616876033290310e-01,nan,-9.156446486401335072e-01,nan,-1.973130725317527423e+00,nan,9.121620513479139492e-01,nan,1.677933812141418457e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.250289916992187500e-02,nan,-5.454498352582279885e-01,nan,-1.502562111635917574e+00,nan,-1.966116021424096694e+00,nan,1.537939701681720006e+00,nan,3.230541944503784180e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.646827697753906250e-02,nan,-5.450323332643032259e-01,nan,2.186896205771950430e-01,nan,-1.964821725134318298e+00,nan,3.109861890230420367e-01,nan,2.843586683273315430e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.035163879394531250e-02,nan,-5.449191223478346835e-01,nan,6.404296448462826197e-03,nan,-1.965652568976584913e+00,nan,-1.936732902184953586e-01,nan,2.505763292312622070e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.431391716003417969e-02,nan,-5.449475971286359410e-01,nan,-1.197743571711200605e-01,nan,-1.964454146486049213e+00,nan,3.980400200559590096e-01,nan,2.177222013473510742e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.822588920593261719e-02,nan,-5.463212822845537886e-01,nan,-1.861996503282843662e-01,nan,-1.962840208447623080e+00,nan,3.936246290057702768e-01,nan,2.493501424789428711e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.220151901245117188e-02,nan,-5.464314037640134458e-01,nan,-1.358849873790268781e-01,nan,-1.961833533555573217e+00,nan,1.873450577079246449e-01,nan,2.587511062622070312e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
