shoulder_des_pos,shoulder_des_vel,shoulder_des_acc,shoulder_des_jerk,shoulder_des_tau,elbow_des_pos,elbow_des_vel,elbow_des_acc,elbow_des_jerk,elbow_des_tau,elbow_des_tau_tvlqr,des_time,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_tau,meas_time,k1,k2,k3,k4,k0
3.288110666145540248e-12,7.833179879995116446e-11,4.445669895021048923e+00,-3.871752586993438427e+01,0.000000000000000000e+00,4.910662773192138192e-12,-8.465249345133742471e-11,-1.271749819289615679e+01,1.821400402898514415e+02,1.695456712205599432e-10,8.968713128878120534e-04,0.000000000000000000e+00,-1.700347907324147728e-04,1.163340533282115549e-02,4.793689962142628656e-05,-1.198989883312700892e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.958487575826807325e-01,-6.200796806178280468e-02,1.330047175299142390e-02,9.187850873356572245e-01,-1.020344757052001668e-03
4.046428360150946960e-04,5.701044937480926472e-02,4.406907556618060440e+00,-3.878243444990216204e+01,0.000000000000000000e+00,-1.117043618708127555e-03,-1.564842679989453256e-01,-1.253525208883617204e+01,1.822359601014016732e+02,1.190940269362098132e-02,1.381026400168806900e-02,1.000318922565124813e-03,-1.896598515177799066e-04,-4.235348941950390841e-03,6.391586806674295874e-05,4.411501151016004353e-03,-1.530045177787542343e-02,1.364016532897949219e-02,-3.947328724158227220e-01,-6.199622857550745464e-02,1.349713259981335546e-02,9.188283826935235155e-01,-1.168975239335276906e-03
1.273178816890844058e-03,9.765302163331208984e-02,4.368080288934291566e+00,-3.884734302986992560e+01,0.000000000000000000e+00,-3.437131817737823156e-03,-2.578920139273547241e-01,-1.235291003437364665e+01,1.823318799129518766e+02,2.152023290482079840e-02,2.381245769879200905e-02,2.000637845130249625e-03,2.499900731971387360e-04,7.414099007351404591e-02,-3.994741482731557205e-04,-7.822649556753416555e-02,-1.248398870229721069e-01,2.464771270751953125e-02,-3.936022987006055351e-01,-6.198560403998584073e-02,1.369273558708455039e-02,9.188713685161661315e-01,-1.310214400793300107e-03
2.752810028612950183e-03,1.375535944284425327e-01,4.329188091969744967e+00,-3.891225160983769626e+01,0.000000000000000000e+00,-7.227012099042372933e-03,-3.452895370275375075e-01,-1.217047202950857887e+01,1.824277997245020799e+02,3.233863589966123886e-02,3.462382097451942309e-02,3.000956767695374221e-03,1.638015766928685099e-03,2.094864760214106558e-01,-1.901497079271496091e-03,-2.189003645245421736e-01,-2.301393151283264160e-01,3.703832626342773438e-02,-3.924568987811755116e-01,-6.197621729820908254e-02,1.388741787624651544e-02,9.189137866379534225e-01,-1.443821483462051289e-03
4.720438358448961896e-03,1.716435814655532521e-01,4.290230965724419754e+00,-3.897716018980546693e+01,0.000000000000000000e+00,-1.200258056746685183e-02,-4.049128513866331325e-01,-1.198793807424096336e+01,1.825237195360522833e+02,4.333627012731356559e-02,4.512842048966740627e-02,4.001275690260499250e-03,5.249388251477762890e-03,4.292367863272570361e-01,-5.720470143400043644e-03,-4.535672408733014138e-01,-2.561294436454772949e-01,4.963421821594238281e-02,-3.912968499334202321e-01,-6.196772905351418531e-02,1.408098964170491005e-02,9.189558380548296102e-01,-1.570228674360871950e-03
6.901649431431519134e-03,1.974482915069736277e-01,4.251208910198315927e+00,-3.904206876977323759e+01,0.000000000000000000e+00,-1.696583354252472267e-02,-4.338033156194034401e-01,-1.180530816857081255e+01,1.826196393476024866e+02,5.359533033184383372e-02,5.448592986694585777e-02,5.001594612825624279e-03,4.791867568115695114e-03,-2.174798723699467029e-04,-7.302387465177591352e-03,-1.621264566233929783e-01,-1.572213023900985718e-01,6.138420104980468750e-02,-3.901223638367337654e-01,-6.195975228693732101e-02,1.427322797613527275e-02,9.189977711791912363e-01,-1.689936881939945509e-03
9.167383227498514253e-03,2.161619108311351456e-01,4.212121925391433486e+00,-3.910697734974100825e+01,0.000000000000000000e+00,-2.174834058265491879e-02,-4.373757326855796657e-01,-1.162258231249811402e+01,1.827155591591526900e+02,6.313850663305831112e-02,6.280776513834805674e-02,6.001913535390748441e-03,6.041633967714652581e-03,1.425819387037083330e-02,-9.635316823906683870e-03,-1.829438160013985570e-01,4.233568906784057617e-02,7.231426239013671875e-02,-3.889333445942053658e-01,-6.195241703589169507e-02,1.446429498182545161e-02,9.190393252747464103e-01,-1.802662529174359294e-03
1.159133014221807104e-02,2.296361662245882118e-01,4.172970011303772431e+00,-3.917188592970877892e+01,0.000000000000000000e+00,-2.641564951023236268e-02,-4.185081953135250110e-01,-1.143976050602287664e+01,1.828114789707028933e+02,7.016041191016411660e-02,6.855186378362429500e-02,7.002232457955873471e-03,4.722344238009256248e-03,-8.671650227959817880e-02,-9.779127522770962241e-03,-5.425559975779249006e-02,-1.503151208162307739e-01,8.319091796875000000e-02,-3.877297476818508115e-01,-6.194573390171402572e-02,1.465425305617487975e-02,9.190803679627760348e-01,-1.908319764906542737e-03
1.414080522434868481e-02,2.379181359932736328e-01,4.133753167935333650e+00,-3.923679450967654958e+01,0.000000000000000000e+00,-3.076761540461689370e-02,-3.768988139926522374e-01,-1.125684274914509153e+01,1.829073987822530682e+02,8.363429749835454841e-02,8.183753722789963159e-02,8.002551380520998500e-03,4.177774450938920303e-03,4.052778521159541847e-02,-1.097755001330661881e-02,-1.703271774620470913e-01,-9.732630848884582520e-02,9.411931037902832031e-02,-3.865117494772032924e-01,-6.193934370123049815e-02,1.484288577708160403e-02,9.191211356823145717e-01,-2.007391613634721024e-03
1.675136790249759020e-02,2.408469540586876956e-01,4.094471395286113591e+00,-3.930170308964432024e+01,0.000000000000000000e+00,-3.453930628128715208e-02,-3.123708611013500391e-01,-1.107382904186477113e+01,1.830033185938032716e+02,9.462072698297055440e-02,9.274217294276956847e-02,9.002870303086123530e-03,5.981873883132286449e-03,3.242488217575018039e-01,-1.442900678604931188e-02,-4.396894148061413765e-01,-1.660295873880386353e-01,1.050603389739990234e-01,-3.852794648280574163e-01,-6.193301857899959767e-02,1.503008108342234785e-02,9.191617289313998018e-01,-2.100151684788994794e-03
